transaction_id,account_id,timestamp,amount_usd,merchant_category,channel,device_risk_score,ip_country,is_international,velocity_24h,failed_logins_24h,chargeback_within_60d
50001,1001,2026-02-01 09:12:00,45.2,grocery,web,8,US,0,1,0,0
50002,1002,2026-02-01 10:05:00,980.0,electronics,mobile,47,US,0,2,1,0
50003,1003,2026-02-01 10:07:00,1250.0,gift_cards,web,81,PH,1,6,5,1
50004,1004,2026-02-01 11:18:00,14.99,streaming,web,12,CA,0,1,0,0
50005,1005,2026-02-01 12:45:00,2200.0,travel,mobile,52,GB,0,1,0,0
50006,1006,2026-02-01 13:03:00,399.99,electronics,web,77,NG,1,7,6,1
50007,1007,2026-02-01 14:22:00,89.0,fashion,mobile,34,BR,0,1,0,0
50008,1008,2026-02-01 15:10:00,620.0,gift_cards,web,68,IN,1,5,3,1
50009,1009,2026-02-01 16:42:00,18.4,food_delivery,web,6,US,0,1,0,0
50010,1010,2026-02-01 17:08:00,750.0,electronics,mobile,58,DE,0,3,1,0
50011,1011,2026-02-01 17:25:00,1400.0,crypto,web,85,RU,1,8,7,1
50012,1012,2026-02-01 18:40:00,64.5,grocery,mobile,10,MX,0,1,0,0
50013,1003,2026-02-02 08:04:00,150.0,gift_cards,web,79,PH,1,7,5,1
50014,1006,2026-02-02 09:01:00,49.99,gaming,web,72,NG,1,9,7,1
50015,1008,2026-02-02 09:30:00,910.0,electronics,web,71,IN,1,6,4,1
50016,1002,2026-02-02 10:20:00,35.0,grocery,web,9,US,0,1,0,0
50017,1004,2026-02-02 11:11:00,560.0,travel,mobile,25,CA,0,1,0,0
50018,1005,2026-02-02 11:45:00,2400.0,travel,web,55,GB,0,1,0,0
50019,1011,2026-02-02 12:12:00,75.0,gaming,web,83,RU,1,10,8,1
50020,1001,2026-02-02 14:55:00,120.0,home_goods,mobile,15,US,0,1,0,0
